Activity Name,Description,Image URL
91.5 WPRK,The best in basement radio and the voice of Rollins College.,https://se-images.campuslabs.com/clink/images/4d8bc43f-c873-4f0d-9fe0-77ea5080c2f1e15819fc-d415-4c5a-9291-d4dac76509af.jpeg?preset=small-sq
Active Minds at Rollins,"Student-led organization aimed to destigmatize mental health, empower student voices, and change the conversation regarding mental health. ",https://se-images.campuslabs.com/clink/images/ff51c9f3-1237-4d3c-aa97-3b6f15fa244fce0bf382-e536-4193-ab39-8e6620056e67.png?preset=small-sq
Advocacy and Social Justice Program,The Advocacy and Social Justice (ASJ) program offers opportunities to “look deeply and see clearly” what’s happening and what’s at stake so that we can responsibly and ethically empower and (en)act.,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
African Student Union (ASU),"ASU is dedicated to form bonds between African Students at Rollins and the Orlando Community. Our goal is to create a place where African students at Rollins can socialize and interact, ASU is open to all students of all backgrounds and ethnicities.",https://se-images.campuslabs.com/clink/images/a6d69fd4-587b-49d0-a350-ac4ba7d4e71daf20c366-89c4-4366-b8c2-8bd8d8bb910b.JPG?preset=small-sq
Alfond Scholars Program,"Highly selective full merit scholarships for four-years, supports up to 10 students a year. The scholarship is funded by the Harold Alfond Foundation.",https://se-images.campuslabs.com/clink/images/a9efb5d7-c6bd-4073-96f7-f45b808c7e9b88ced001-4eb8-487a-bc95-3a01210e4339.jpeg?preset=small-sq
Alpha Delta Pi,"For more than 161 years, extraordinary women have called Alpha Delta Pi home. The first secret society for women, Alpha Delta Pi, originally called the ""Adelphean Society,"" forged the way for women in the fraternity system: Alpha Delta Pi is the mother..",https://se-images.campuslabs.com/clink/images/4e617926-dff0-4214-bb7d-9995ccc2dce9ac9f0a34-cf26-4d5b-8591-d5024f0b531d.png?preset=small-sq
Alpha Kappa Alpha,"The purpose of Alpha Kappa Alpha Sorority is to cultivate... high scholastic and ethical standards, promote unity and friendship among college women, study and help alleviate problems concerning girls and women in order to improve their social stature.",https://se-images.campuslabs.com/clink/images/233aa4c0-da8d-4885-9093-468a7b9130bc42e7bd24-dfb7-40de-a18f-6c7ab79fc556.png?preset=small-sq
Alpha Omicron Pi,"The Mu Lambda chapter of Alpha Omicron Pi was founded at Rollins in 2002. On campus, we boast leaders in numerous external organizations, engaging philanthropy events, and exciting social events. We are more than a sisterhood; we are a family.",https://se-images.campuslabs.com/clink/images/06f5943d-fbec-480b-9c74-11fedb2208da7861f9e9-e68c-4ecf-abde-366d32a4f7d3.png?preset=small-sq
Alpha Psi Omega,National Theatre Honor Society,https://se-images.campuslabs.com/clink/images/6d24cec9-6c76-4cc3-a250-d92f4c4c8fbfa0fb72d9-fcae-45f3-b08c-899362b0451b.png?preset=small-sq
Amnesty International - Rollins College,"This chapter on campus is associated with the biggest NGO of Human Rights in the world, Amnesty International. Amnesty works in investigating and exposing the facts, whenever and wherever abuses happen.",https://se-images.campuslabs.com/clink/images/67e94c1b-d76c-4289-8c15-3c433746eaee22c0cf7a-a89b-4c2a-afbe-cad42e2480c1.jpg?preset=small-sq
Annie Russell Theatre,"The longest continuously operating theater in Florida and named to the National Register of Historic Places, the Annie Russell Theatre stages an exciting season of musicals and plays that feature student performers.",https://se-images.campuslabs.com/clink/images/d6224cea-8acf-42eb-aa29-41ea03a4d1c5d6bf835f-0be6-4bb1-aa89-da3ccf6e0938.jpg?preset=small-sq
Anthropology Club,A forum to engage with all things Anthropology,https://se-images.campuslabs.com/clink/images/e6e48322-e7a2-4d5e-98cd-5cbaf75d8ad0213d483f-7cff-437d-9b48-78444f806667.png?preset=small-sq
Archery (Rollins College Archery Club),"This club will provide the opportunity for students to practice archery. Whether you're an experienced archer, or just ""really want to try that thing Robin Hood does,"" this club has a place for you. Make new friends and try something new, here at RCAC!",https://se-images.campuslabs.com/clink/images/6ba89bcc-2b51-495d-87a8-858f5027766851a225f4-2c7d-4f8c-b1d4-903dcf50a819.png?preset=small-sq
Best Buddies,"Best Buddies is a nonprofit organization and a global volunteer movement that provides opportunities for meaningful and long-lasting one-on-one friendships, employments, and interactions with individuals with intellectual and developmental disabilities.",https://se-images.campuslabs.com/clink/images/ec05d7ab-ef64-44f6-a700-24ffb78561c6eaa2ee5c-4a8a-42ac-8c76-c0d9a70a4d51.PNG?preset=small-sq
Black Student Union,"BSU welcomes students of all races, ethnicities and identities to join an inclusive environment on campus and in our community.",https://se-images.campuslabs.com/clink/images/dccc2df4-69fe-47d3-8d50-fc8bc4b86287eab44430-a8b7-4d53-99df-dfb783b25680.png?preset=small-sq
Board Game Club,The Board Game Club is intended for members to get together and enjoy each others company while fostering a competitive spirit while playing different board games.,https://se-images.campuslabs.com/clink/images/b0c1b049-3319-41d2-82e9-739e29e2094abb94a6f3-8b84-495c-9feb-0566011e85dd.png?preset=small-sq
Brazilian Student Association at Rollins College,"BRASA aims to promote Brazilian culture and strengthen the Brazilian community at Rollins College. The organization seeks to facilitate and promote networking among Rollins students, alumni, Current MBAs, and prospective students.",https://se-images.campuslabs.com/clink/images/d6966145-757f-4157-a460-42cf81a70902045ae566-a37e-417c-a8e6-6a271f9869f0.png?preset=small-sq
Breaking Bread,"We believe in building bridges by breaking bread. Through shared meals and cultural experiences, we will learn about the world around us, and enjoy the foods and traditions of people everywhere.",https://se-images.campuslabs.com/clink/images/bb018b97-abbd-4255-90d3-f5c3c92636a9df0d4755-a1e6-4f78-b924-b0986423af4f.png?preset=small-sq
Brushing Art and Literary Journal,"Brushing is Rollins College's undergraduate journal of art and literature. It exists to provide an outlet for qualifying essayists, poets, writers, and artists.",https://se-images.campuslabs.com/clink/images/d266fec4-232d-41a6-90aa-5939c61923249eef0aea-4be4-4d16-aa6f-7307a082141e.png?preset=small-sq
Business Student Leadership Council,"The Business Student Leadership Council is a student-run organization under the guidance of the Department of Business. It is comprised of a select group of exemplary Business majors, who support the vision and mission of the Department.",https://se-images.campuslabs.com/clink/images/310ea62b-c4ab-4be3-9938-c70ee611a279fea6d838-89fe-440b-a8da-4727897fd7e2.png?preset=small-sq
Caribbean Student Association,Mission: Rollins College Caribbean Student Association is designed to embrace all Caribbean cultures and nationalities through educating and communicating with the Rollins community in order to promote acceptance and understanding.,https://se-images.campuslabs.com/clink/images/6b2a6fff-e604-4e4d-bb61-520f62a725d14cf36d73-a780-4e13-86f0-1f62aa949b1c.jpg?preset=small-sq
Catholic Campus Ministry,Rollins Catholic Campus Ministry's main meeting is the celebration of Roman Catholic Mass in Knowles Chapel at 8:30 PM every Sunday while CLA classes are in session. RCCM is a place for students to learn more about the Catholic faith.,https://se-images.campuslabs.com/clink/images/ab4c946e-05b0-4d2b-9cc9-c8b258eeac0d077e92e7-5152-40e6-afab-0eded6109e13.png?preset=small-sq
Center for Campus Involvement,"With the overarching mission of providing every student with an opportunity to get involved; we create and foster events, organizations and campus environments for students.",https://se-images.campuslabs.com/clink/images/4f87fcfb-9076-4a88-a4ac-ff236353c68fcb1969fa-b536-4634-8763-985a85b02f91.jpg?preset=small-sq
Center for Career & Life Planning,"The Center for Career & Life Planning offers a variety of services and resources for CLA & Holt students and alumni, designed to reinforce the personal, social, and intellectual development fostered by a liberal arts education.",https://se-images.campuslabs.com/clink/images/6eeeb4f6-6cf2-41f1-b6bc-de210b51d55a413aeebe-9538-415a-91a6-374e7d7e0647.jpg?preset=small-sq
Center for Leadership and Community Engagement,The Center for Leadership & Community Engagement (CLCE) inspires action and cultivates positive social change through leadership development and community engagement.,https://se-images.campuslabs.com/clink/images/3db079c3-eef4-40aa-ae29-bb2a601fa817f134793e-a857-48e2-bc51-7360b5199525.png?preset=small-sq
Chabad at Rollins College,Chabad at Rollins College provides a warm Jewish home-away-from-home in the special Chassidic spirit.,https://se-images.campuslabs.com/clink/images/5cdeac52-ffcc-43de-80d6-ba5f360263c785470c37-9b64-4744-b6c0-f15c653b4b60.png?preset=small-sq
Chi Omega,"XΩ is the largest women's fraternity in the world - Upsilon Beta has been established at Rollins since 1931, making it one of the oldest sororities on campus.",https://se-images.campuslabs.com/clink/images/da3f9504-3397-4a5e-8896-3db5c9d9626cffff9d7f-fd6a-4b17-a06d-ca0bae190b44.jpg?preset=small-sq
Chi Psi Fraternity,"The mission of the Chi Psi Fraternity is to build a better man, enhance the college experience, and forge lifelong relationships.",https://se-images.campuslabs.com/clink/images/ad4b5b7a-6d33-46bf-a933-8da42a19cffe5a69ace3-e87f-4ccf-ab05-55a560c5c936.jpg?preset=small-sq
Circle K International Club of Rollins College,"Circle K International is one of the world's largest student-led collegiate service organizations, with thousands of members on hundreds of campuses across the globe. CKI empowers college students through service to local and global communities.",https://se-images.campuslabs.com/clink/images/fa12daf2-32ba-4468-82f7-9fa0e7aa11d220fce97a-6781-4cc7-996d-83d11f1483e2.png?preset=small-sq
Class of 2024,Rollins College undergraduate students who are part of the graduating Class of 2024,https://se-images.campuslabs.com/clink/images/ae3faf1a-4f4b-4d46-b080-f782cce65889906b066e-d6e4-41ff-97c8-1a97459c5ca3.jpg?preset=small-sq
Classics Club,"We are an association of students wishing to provide to provide a forum for enthusiasts of the Classical World, interested in learning more about the history, cultures and ancient languages derived predominantly from Ancient Greece and Rome.",https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Club Golf,"We are a club that revolves around the member's love for golf, or simply a club for those interested in learning and playing the sport.",https://se-images.campuslabs.com/clink/images/46abfe81-8b15-4aab-92b9-b3152fe2eccdf34856e1-5e8f-4efe-ace7-71c4a592221f.PNG?preset=small-sq
Community Standards and Responsibility,Community Standards and Responsibility,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
CRU,"The purpose of the Chapter, as articulated in the Charter, is to: Build movements of people who are transformed by Jesus Christ",https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Delta Zeta,Delta Zeta Sorority,https://se-images.campuslabs.com/clink/images/c0ee182d-4a11-4f3d-bd9a-3b026aeea91d398dc928-1525-4460-a132-dbe76aaa1c7a.jpeg?preset=small-sq
Democracy Project,"The Rollins College Democracy Project, a non partisan initiative based out of the Center for Leadership & Community Engagement is dedicated to getting students, faculty, and staff involved in the democratic process.",https://se-images.campuslabs.com/clink/images/1b7a087d-b091-4fa7-8cc9-2128faa7f5a9d0763cbf-e9e4-40a0-84be-6a55a8b4d0c4.jpg?preset=small-sq
Department of Critical Media and Cultural Studies,"CMC is an interdisciplinary program grounded in values of equity, human rights, and social justice. We are a welcoming community of scholar-citizens who aspire to be both critical analysts and critical producers of media and culture.",https://se-images.campuslabs.com/clink/images/c72ba4fc-670f-4a4d-8565-881b0e476d51d12053e5-3458-4e4f-b161-a8108b93c513.png?preset=small-sq
