Activity Name,Description
91.5 WPRK,The best in basement radio and the voice of Rollins College.
Active Minds at Rollins,"Student-led organization aimed to destigmatize mental health, empower student voices, and change the conversation regarding mental health. "
Advocacy and Social Justice Program,The Advocacy and Social Justice (ASJ) program offers opportunities to “look deeply and see clearly” what’s happening and what’s at stake so that we can responsibly and ethically empower and (en)act.
African Student Union (ASU),"ASU is dedicated to form bonds between African Students at Rollins and the Orlando Community. Our goal is to create a place where African students at Rollins can socialize and interact, ASU is open to all students of all backgrounds and ethnicities."
Alfond Scholars Program,"Highly selective full merit scholarships for four-years, supports up to 10 students a year. The scholarship is funded by the Harold Alfond Foundation."
Alpha Delta Pi,"For more than 161 years, extraordinary women have called Alpha Delta Pi home. The first secret society for women, Alpha Delta Pi, originally called the ""Adelphean Society,"" forged the way for women in the fraternity system: Alpha Delta Pi is the mother.."
Alpha Kappa Alpha,"The purpose of Alpha Kappa Alpha Sorority is to cultivate... high scholastic and ethical standards, promote unity and friendship among college women, study and help alleviate problems concerning girls and women in order to improve their social stature."
Alpha Omicron Pi,"The Mu Lambda chapter of Alpha Omicron Pi was founded at Rollins in 2002. On campus, we boast leaders in numerous external organizations, engaging philanthropy events, and exciting social events. We are more than a sisterhood; we are a family."
Alpha Psi Omega,National Theatre Honor Society
Amnesty International - Rollins College,"This chapter on campus is associated with the biggest NGO of Human Rights in the world, Amnesty International. Amnesty works in investigating and exposing the facts, whenever and wherever abuses happen."
Annie Russell Theatre,"The longest continuously operating theater in Florida and named to the National Register of Historic Places, the Annie Russell Theatre stages an exciting season of musicals and plays that feature student performers."
Anthropology Club,A forum to engage with all things Anthropology
Archery (Rollins College Archery Club),"This club will provide the opportunity for students to practice archery. Whether you're an experienced archer, or just ""really want to try that thing Robin Hood does,"" this club has a place for you. Make new friends and try something new, here at RCAC!"
Best Buddies,"Best Buddies is a nonprofit organization and a global volunteer movement that provides opportunities for meaningful and long-lasting one-on-one friendships, employments, and interactions with individuals with intellectual and developmental disabilities."
Black Student Union,"BSU welcomes students of all races, ethnicities and identities to join an inclusive environment on campus and in our community."
Board Game Club,The Board Game Club is intended for members to get together and enjoy each others company while fostering a competitive spirit while playing different board games.
Brazilian Student Association at Rollins College,"BRASA aims to promote Brazilian culture and strengthen the Brazilian community at Rollins College. The organization seeks to facilitate and promote networking among Rollins students, alumni, Current MBAs, and prospective students."
Breaking Bread,"We believe in building bridges by breaking bread. Through shared meals and cultural experiences, we will learn about the world around us, and enjoy the foods and traditions of people everywhere."
Brushing Art and Literary Journal,"Brushing is Rollins College's undergraduate journal of art and literature. It exists to provide an outlet for qualifying essayists, poets, writers, and artists."
Business Student Leadership Council,"The Business Student Leadership Council is a student-run organization under the guidance of the Department of Business. It is comprised of a select group of exemplary Business majors, who support the vision and mission of the Department."
Caribbean Student Association,Mission: Rollins College Caribbean Student Association is designed to embrace all Caribbean cultures and nationalities through educating and communicating with the Rollins community in order to promote acceptance and understanding.
Catholic Campus Ministry,Rollins Catholic Campus Ministry's main meeting is the celebration of Roman Catholic Mass in Knowles Chapel at 8:30 PM every Sunday while CLA classes are in session. RCCM is a place for students to learn more about the Catholic faith.
Center for Campus Involvement,"With the overarching mission of providing every student with an opportunity to get involved; we create and foster events, organizations and campus environments for students."
Center for Career & Life Planning,"The Center for Career & Life Planning offers a variety of services and resources for CLA & Holt students and alumni, designed to reinforce the personal, social, and intellectual development fostered by a liberal arts education."
